  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | PASTRY_W2_Broad_Creative_Test_5Ads | 120247751716700393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on  new=[{'content': 'Excluding custom audience:', 'children': ['Pastry
  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | PASTRY_W3_Broad_Creative_Test_5Ads | 120247751718430393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on  new=[{'content': 'Excluding custom audience:', 'children': ['Pastry
  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | PASTRY_W4_Broad_Creative_Test_5Ads | 120247751720360393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on  new=[{'content': 'Excluding custom audience:', 'children': ['Pastry
  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | PASTRY_W5_Broad_Creative_Test_5Ads | 120247751722120393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on  new=[{'content': 'Excluding custom audience:', 'children': ['Pastry
  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | PASTRY_W6_Broad_Creative_Test_5Ads | 120247751723950393 | 1 | old=[{'content': 'Location:', 'children': ['South Africa']}, {'content': 'Minimum age:', 'children': ['18', 'Unknown age on  new=[{'content': 'Excluding custom audience:', 'children': ['Pastry
  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | AS1_Hyperpigmentation | 120239422422230393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, ReturningCust new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
  2026-08-05 | Ad set value rules updated | Mathebe Molise | Ads Automation Pastry | AS1_Hyperpigmentation | 120239422422230393 | 1 | old=None new=None type=
* 2026-08-05 | Ad set status updated | Mathebe Molise | Ads Automation Pastry | PASTRY_DPA_Broad_Acq_3 | 120239424374900393 | 2 | old=Pending Process new=Active type=run_status
* 2026-08-05 | Ad set status updated | Mathebe Molise | Ads Automation Pastry | PASTRY_DPA_Broad_Acq_2 | 120239424374890393 | 2 | old=Pending Process new=Active type=run_status
* 2026-08-05 | Ad set status updated | Mathebe Molise | Ads Automation Pastry | PASTRY_DPA_Broad_Acq_1 | 120239423593800393 | 2 | old=Pending Process new=Active type=run_status
  2026-08-05 | Ad set targeting updated | Mathebe Molise | Ads Automation Pastry | AS2_Body_Care_Broad | 120239422623010393 | 2 | old=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckout30d, buyers180d, R new=[{'content': 'Custom audience:', 'children': ['All website visitors 180, WEB-ATC-30d, InitiateCheckou
* 2026-08-05 | Ad set name updated | Mathebe Molise | Ads Automation Pastry | PASTRY_DPA_Broad_Acq_3 | 120239424374900393 | 1 | old=RT_Past_Purchasers new=PASTRY_DPA_Broad_Acq_3 type=name
* 2026-08-05 | Ad set name updated | Mathebe Molise | Ads Automation Pastry | PASTRY_DPA_Broad_Acq_2 | 120239424374890393 | 1 | old=RT_Product_Viewers new=PASTRY_DPA_Broad_Acq_2 type=name
* 2026-08-05 | Ad set name updated | Mathebe Molise | Ads Automation Pastry | PASTRY_DPA_Broad_Acq_1 | 120239423593800393 | 1 | old=RT_Cart_Abandoners new=PASTRY_DPA_Broad_Acq_1 type=name
* 2026-08-05 | Campaign name updated | Mathebe Molise | Ads Automation Pastry | PASTRY_DPA_Broad_Acquisition | 120239423593780393 | 1 | old=PASTRY_Retargeting_DPA new=PASTRY_DPA_Broad_Acquisition type=name
