date,orders,net_sales_zar,source
2026-08-14,35,24567.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-15,38,39926.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-16,43,30638.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-17,37,25499.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-18,33,28573.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-19,21,20388.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-20,44,35997.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-21,33,27744.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-22,26,19225.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-23,22,18701.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-24,44,37711.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-25,68,59473.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-26,54,44428.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-27,40,28455.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-28,29,26157.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-29,27,18991.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-30,41,33891.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-08-31,61,52351.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-09-01,61,45405.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-09-02,48,38583.0,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-09-03,41,31203.75,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-09-04,21,16250.25,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
2026-09-05,24,22310.5,"Shopify run-analytics-query FROM sales SHOW orders,net_sales TIMESERIES day SINCE 2026-06-08 UNTIL 2026-09-05; captured 2026-09-06 10:55 UTC"
