campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions_primary_mixed,conversions_value_primary_mixed,all_conversions,source
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694309,Niacinamide Sunscreen,la roche mela b3 sunscreen,NONE,niacinamide sunscreen,PHRASE,NEAR_PHRASE,1,1,13.72,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660112718,Pastry_BodyWash_Search,194151132373,Ad group 1,pastry shower gel,NONE,pastry body wash,EXACT,NEAR_EXACT,30,3,13.48,0,0,3,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,www pastryskincare co za,NONE,pastry skin,PHRASE,NEAR_PHRASE,12,7,13.2,0,0,7,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,198582692869,Pastry Skincare,pastry skin,ADDED,pastry skin,EXACT,EXACT,15,7,12.982416,0,0,7.3682,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry brightening body oil,NONE,pastry body oil,EXACT,NEAR_EXACT,49,8,12.889485,0,0,5.7269,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,derma care even tone complexion serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,1,1,12.88,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,alpha arbutin,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,87,1,12.74,0,0,3,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,mela b3,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,15,1,12.68,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,best serum for pigmentation and dark spots at clicks,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,3,1,12.650618,0,0,0,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614294762,Search-pastryskincare,193410155229,Ad group 1,skin fit,NONE,skincare for sensitive skin,BROAD,BROAD,1,2,12.58,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,best tissue oil for glowing skin at clicks,NONE,body brightening oil,PHRASE,NEAR_PHRASE,3,1,12.46,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,body oils for glowing skin,NONE,body brightening oil,EXACT,NEAR_EXACT,5,1,12.22,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,the ordinary pigmentation,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,1,1,12.22,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,dark spot correcting glow serum clicks,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,38,1,12.18,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614843633,Search-bodycare,195291098322,Ad group 1,pastry skin products,NONE,body cream,BROAD,BROAD,26,3,12.16,0,0,3.5317,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pasty skin,NONE,pastry skin,EXACT,NEAR_EXACT,25,5,12.11,1,1470,18,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skin,ADDED,pastry skin care,EXACT,NEAR_EXACT,25,9,12.080475,0,0,24.9842,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,advanced korean body oil,NONE,brightening body oil,PHRASE,NEAR_PHRASE,1,1,12.04,0,0,0,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry shower gel,NONE,pastry body wash,EXACT,NEAR_EXACT,50,10,12.001437,8,132.08,26.0824,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,best serum for hyperpigmentation,NONE,pigmentation correcting serum,EXACT,NEAR_EXACT,4,1,11.99,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,lelive body oil,NONE,body brightening oil,PHRASE,NEAR_PHRASE,6,1,11.9,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,mela b3 serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,28,1,11.87,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,eucerin even pigment perfector dual serum,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,14,1,11.804299,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968133486,Product | Niacinamide Body Lotion,niacinamide body lotion,ADDED,niacinamide body lotion,EXACT,EXACT,72,4,11.8,0,0,14,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694069,BHA Body Gel,the ordinary salicylic acid body serum,NONE,bha body serum,PHRASE,NEAR_PHRASE,1,1,11.77,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,garnier serum clicks,NONE,pigmentation correction serum,PHRASE,NEAR_PHRASE,7,1,11.62,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24142894204,Pastry | Search | Product High Intent | 2026-08-14,197968133886,Product | Salicylic Body Wash,salicylic body wash,NONE,salicylic acid body wash,EXACT,NEAR_EXACT,30,4,11.54,0,0,8.5,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693509,Glycolic Body Wash,glycolic body wash,ADDED,glycolic body wash,EXACT,EXACT,14,1,11.43,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry anti pigment hand cream,NONE,pastry hand cream,EXACT,NEAR_EXACT,87,9,11.17641,0,0,25.5798,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,anua niacinamide,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,6,1,11.16,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,alpha arbutin serum benefits,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,1,1,11.08,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,luminous anti dark marks,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,5,1,11.07,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,la roche posay niacinamide serum review,NONE,niacinamide pigmentation serum,PHRASE,NEAR_PHRASE,1,1,11.03,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614843633,Search-bodycare,195291098322,Ad group 1,pantry body lotion,NONE,body cream,BROAD,NEAR_PHRASE,19,5,10.917211,1,16.59,13,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,teashell niacinamide serum,NONE,niacinamide pigmentation serum,PHRASE,NEAR_PHRASE,1,1,10.75,0,0,3,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614843633,Search-bodycare,195291098322,Ad group 1,pastry hand cream price,NONE,body cream,BROAD,BROAD,31,7,10.704858,0,0,8,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23614843633,Search-bodycare,195291098322,Ad group 1,pasty skincare,NONE,body cream,BROAD,BROAD,18,4,10.48,0,0,6.5,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry pigmentation serum,NONE,pastry skin care,BROAD,NEAR_PHRASE,15,5,10.43,0,0,5.0163,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693829,Brightening Body Oil,vitamin c oil,NONE,vitamin c body oil,PHRASE,NEAR_PHRASE,7,1,10.37,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skin products,NONE,pastry skincare products,EXACT,NEAR_EXACT,33,11,10.28,1,16.51,47.5068,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582694469,Pigmentation Serum,la roche posay for dark spots,NONE,pigmentation correcting serum,PHRASE,NEAR_PHRASE,5,1,10.14,0,0,1,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare store near me,NONE,pastry skincare near me,EXACT,NEAR_EXACT,99,11,10.102373,0,0,9.5808,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24105712546,PNC_PASTRY_WAR_Search_Product_20260803,198582693789,Niacinamide Body Lotion,mixa niacinamide bright body lotion,NONE,niacinamide body lotion,PHRASE,PHRASE,1,1,9.94,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
24094997880,PNC_PASTRY_WAR_Search_Brand_20260803,198582692869,Pastry Skincare,pastry products,ADDED,pastry products,EXACT,EXACT,19,5,9.92,0,0,2,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,the pastry skincare,ADDED,the pastry skincare,EXACT,EXACT,32,13,9.862183,3,49.37,31.7919,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare clicks,NONE,pastry skincare,BROAD,PHRASE,122,21,9.86,1,345,59.9684,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,the pastry,NONE,pastry skincare,BROAD,BROAD,11,4,9.706472,0,0,5.4228,"raw/32_search_term_view_90d.json (2798 rows, uncapped)"
