campaign_id,campaign,ad_group_id,ad_group,search_term,stv_status,matched_keyword,keyword_match_type,search_term_match_type,impressions,clicks,cost_zar,conversions,conversions_value,all_conversions,source
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry deodorant roll on,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry face mask,ADDED,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry glycolic acid body wash,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry mall of africa,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry niacinamide,NONE,pastry skin care,BROAD,NEAR_PHRASE,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry niacinamide lotion,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry overnight body balm,NONE,pastry skin care,BROAD,NEAR_PHRASE,6,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry pigmentation serum,NONE,pastry skin care,BROAD,NEAR_PHRASE,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,where to buy pastry products,NONE,pastry skin care,BROAD,NEAR_PHRASE,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry beauty,NONE,pastry skin care,EXACT,NEAR_EXACT,1,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skin care near me,NONE,pastry skin care,EXACT,NEAR_EXACT,7,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body lotion price,NONE,pastry lotion,EXACT,NEAR_EXACT,3,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare shop,NONE,pastry skincare,EXACT,NEAR_EXACT,10,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare stores,NONE,pastry skincare,EXACT,NEAR_EXACT,3,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry body lotion price,NONE,pastry body lotion,EXACT,NEAR_EXACT,4,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry pigmentation serum,NONE,pastry serum,EXACT,NEAR_EXACT,5,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare anti pigmentation deodorant,NONE,pastry skincare,BROAD,PHRASE,5,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare for stretch marks,NONE,pastry skincare,BROAD,PHRASE,6,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
23660059123,Pastry_Brand_Search,195867018204,Ad group 1,pastry skincare hand cream,NONE,pastry skincare,BROAD,PHRASE,2,0,0.0,0,0,0,"raw/40_search_term_view_28d_enabled.json (552 rows, uncapped)"
